,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
56,1,5,0,0,0,3,9,2,0,4,4,0,13,0,0,0,0,8,35,28,0,0,0,1,0,6,3,9,6,17,0,1,0,2,0,0,1,0,0,0,0,0,1,2,10,1,0,0,1,3,0,2,6,1,7,11,75,18,25,1,1,1,1,1,4,20,3,1,0,0,0,25,19,5,0,0,0,20,1
57,2,3,0,0,2,1,3,3,1,2,0,0,4,0,0,3,0,2,8,6,0,1,0,4,2,3,2,7,5,2,0,0,0,10,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,1,2,17,12,0,5,22,67,15,2,4,2,0,1,8,8,6,3,0,0,0,14,6,6,0,0,0,0,1
58,0,1,0,0,0,5,2,0,3,0,11,0,2,1,1,0,0,2,17,8,0,0,0,1,3,9,2,20,16,17,0,0,0,4,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,6,10,7,18,30,21,37,1,4,0,3,3,8,10,4,8,0,0,0,15,14,3,0,0,0,1,2
59,5,0,0,0,0,0,0,0,0,0,6,0,0,7,26,40,6,0,6,5,0,0,0,1,0,0,0,14,4,13,0,0,1,34,32,0,0,0,0,0,1,0,2,0,0,0,9,8,20,14,0,1,0,1,0,2,7,0,1,52,24,15,2,5,3,4,1,0,0,7,0,4,3,1,0,0,0,0,0
60,5,1,0,0,0,0,0,0,1,0,6,0,1,6,30,3,3,0,0,2,0,0,0,1,2,1,2,25,3,22,0,0,0,28,10,0,0,0,0,0,0,0,0,0,0,1,7,7,19,6,0,1,8,8,1,1,2,2,2,13,70,26,2,0,17,31,4,0,0,1,0,4,2,3,10,0,0,0,0
61,14,0,0,0,0,0,0,0,0,0,0,0,1,0,15,3,2,2,7,0,0,0,1,9,0,0,0,9,2,1,0,0,0,12,8,1,0,0,0,0,0,0,0,0,0,0,3,6,3,7,0,5,3,1,0,3,2,1,0,9,29,72,0,0,21,12,6,0,0,0,0,0,1,0,0,0,0,0,0
62,0,0,0,0,2,22,0,0,0,5,42,4,3,1,2,7,1,0,1,1,5,30,0,0,11,8,8,1,0,6,4,0,1,0,0,0,0,0,0,0,0,5,37,11,0,0,1,1,0,0,0,0,1,1,0,8,7,2,0,1,0,0,169,38,2,0,0,0,0,28,17,1,0,0,1,1,0,0,0
63,0,0,0,0,3,6,0,0,0,0,10,8,1,1,2,0,2,0,0,0,3,7,0,0,5,4,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,10,31,5,0,0,0,0,0,0,0,0,2,0,4,1,17,4,11,1,1,0,38,48,0,0,0,1,2,2,1,0,2,1,0,2,0,0,0
64,38,0,0,0,10,0,20,7,0,0,0,0,0,2,18,2,1,0,9,1,0,0,7,14,8,2,0,12,5,2,0,0,0,5,5,0,0,0,0,2,2,0,1,2,1,0,1,1,5,0,10,14,20,29,7,5,9,13,11,0,16,21,0,6,47,13,18,0,1,0,0,15,5,0,0,0,0,0,0
65,6,0,0,0,0,1,0,0,0,0,6,0,2,13,6,1,0,0,4,4,0,1,0,1,2,3,2,29,3,12,0,0,0,10,1,0,0,0,0,0,0,0,1,1,0,0,2,0,10,1,0,0,8,0,6,4,22,2,9,6,25,5,0,0,16,28,14,1,0,1,0,3,2,0,0,0,0,1,0
66,3,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,1,9,7,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,8,9,0,0,4,4,4,0,5,6,1,0,17,10,11,0,0,0,0,6,3,0,0,0,0,0,0
67,0,0,0,0,0,27,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,4,0,0,3,5,3,0,0,1,30,67,50,0,0,0,0,0,0,0,0,9,5,49,1,0,1,0,0,0,0,0,0,0,4,4,0,0,8,0,0,0,2,3,1,0,0,96,65,0,0,5,3,0,0,0,0,0,0
68,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,7,0,0,6,10,4,0,0,0,23,14,26,0,0,0,0,0,0,0,0,1,13,13,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,1,0,9,5,0,0,0,66,66,1,0,19,1,0,1,0,0,0,0
69,0,0,0,0,0,6,0,0,0,0,1,23,0,0,0,0,2,0,0,0,19,21,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24,8,0,0,0,3,0,64,44,0,0,0,2,4,0,0,0
70,0,0,1,0,0,2,0,0,0,0,2,11,0,0,0,0,0,0,0,0,3,17,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,10,1,0,0,0,0,0,44,65,0,0,0,0,2,0,0,0
71,0,1,0,0,0,4,3,2,1,0,12,1,4,0,2,0,0,0,24,11,0,8,0,0,7,16,15,28,10,16,8,6,4,6,0,1,3,0,0,0,2,6,1,6,13,7,0,0,3,0,1,0,5,5,10,19,26,14,18,3,11,1,7,2,24,3,3,5,15,1,0,53,29,10,0,0,0,11,2
72,0,0,0,0,0,9,0,0,0,0,16,0,1,3,4,1,0,2,8,1,4,0,0,0,1,11,3,28,9,11,0,0,0,9,7,0,0,0,0,0,0,0,7,4,5,0,0,0,5,2,0,1,4,2,7,3,14,6,30,6,12,2,4,4,7,8,4,6,1,0,3,19,34,11,0,0,0,1,1
73,0,0,0,0,0,1,0,0,0,0,12,3,2,0,11,1,1,1,0,2,0,2,0,1,6,9,3,1,13,0,0,0,0,5,0,0,12,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,10,1,4,3,4,7,0,1,1,2,1,2,0,0,0,0,1,1,11,10,18,0,0,0,1,1
74,0,0,0,2,0,1,0,0,0,0,2,20,0,0,0,0,1,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,4,3,0,0,0,226,44,73,0,0
75,0,0,2,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,2,0,0,0,0,63,75,39,0,0
76,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,70,27,52,0,0
77,1,11,0,0,0,0,3,0,3,7,0,0,3,0,0,0,0,3,1,17,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,21,0,0,1,0,1,0,0,20,23,0,0,0,0,0,0,3,8,5,10,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,50,38
78,1,1,0,0,0,0,1,0,5,1,0,0,4,0,0,0,0,2,3,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,2,14,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,24,36
