Origen,Destino,Distancia_km,Desnivel,Consumo_Wh
11.0,37.0,3.5336,2.0,47.9036
11.0,38.0,11.210799999999999,14.0,152.7458
11.0,39.0,10.2766,0.0,138.7341
12.0,0.0,8.690700000000001,13.0,118.62445000000001
12.0,1.0,10.7915,-21.0,143.58525
12.0,2.0,4.1762,-17.0,54.67869999999999
12.0,3.0,12.4041,14.0,168.85535000000002
12.0,4.0,11.4372,31.0,157.50220000000002
12.0,5.0,7.734,-1.0,104.30900000000001
12.0,6.0,10.3657,19.0,141.83695
12.0,7.0,7.208,41.0,101.408
12.0,8.0,10.073,23.0,138.2855
12.0,9.0,12.0591,-12.0,161.59785000000002
12.0,10.0,13.6495,-12.0,183.06825
12.0,11.0,1.0466,3.0,14.4291
12.0,13.0,1.4952,3.0,20.485200000000003
12.0,14.0,2.1567,-5.0,28.61545
12.0,15.0,14.8293,11.0,201.29555
12.0,16.0,14.1044,12.0,191.6094
12.0,17.0,4.6378,-11.0,61.5103
12.0,18.0,5.9204,-11.0,78.8254
12.0,19.0,13.160200000000001,5.0,178.16270000000003
12.0,20.0,12.966899999999999,36.0,178.65314999999998
12.0,21.0,11.4855,-12.0,153.85425
12.0,22.0,14.840399999999999,-14.0,198.94539999999998
12.0,23.0,15.7186,25.0,214.7011
12.0,24.0,9.8339,24.0,135.15765000000002
12.0,25.0,12.4223,28.0,170.50105000000002
12.0,26.0,11.2104,35.0,154.8404
12.0,27.0,9.075899999999999,7.0,123.22464999999998
12.0,28.0,12.3933,3.0,167.60955
12.0,29.0,9.3627,17.0,128.09645
12.0,30.0,6.0408,-13.0,80.2508
12.0,31.0,6.8125,4.0,92.36875
12.0,32.0,10.411,31.0,143.64849999999998
12.0,33.0,6.752,32.0,94.352
12.0,34.0,5.9314,-10.0,79.0739
12.0,35.0,5.075,5.0,69.0125
12.0,36.0,8.3081,2.0,112.35934999999999
12.0,37.0,2.993,5.0,40.905499999999996
12.0,38.0,11.5734,17.0,157.94089999999997
12.0,39.0,10.639100000000001,3.0,143.92785000000003
13.0,0.0,8.7286,10.0,118.8361
13.0,1.0,11.841,-24.0,157.4535
13.0,2.0,5.2257,-20.0,68.54695
13.0,3.0,13.4536,11.0,182.7236
13.0,4.0,12.4867,28.0,171.37045000000003
13.0,5.0,8.7835,-4.0,118.17725
13.0,6.0,11.4152,16.0,155.7052
13.0,7.0,8.2575,38.0,115.27625
13.0,8.0,10.1108,20.0,138.4958
13.0,9.0,13.108600000000001,-15.0,175.4661
13.0,10.0,14.699,-15.0,196.9365
13.0,11.0,2.1005,0.0,28.356749999999998
13.0,12.0,1.4714,-3.0,19.5639
13.0,14.0,1.9521,-8.0,25.55335
13.0,15.0,15.8788,8.0,215.1638
13.0,16.0,15.1539,9.0,205.47765
13.0,17.0,5.6873000000000005,-14.0,75.37855
13.0,18.0,6.9699,-14.0,92.69364999999999
13.0,19.0,14.209700000000002,2.0,192.03095000000002
13.0,20.0,14.016399999999999,33.0,192.5214
13.0,21.0,12.535,-15.0,167.7225
13.0,22.0,15.889899999999999,-17.0,212.81365
13.0,23.0,16.768099999999997,22.0,228.56934999999996
13.0,24.0,9.7778,21.0,134.10029999999998
13.0,25.0,13.4718,25.0,184.3693
13.0,26.0,12.2599,32.0,168.70864999999998
13.0,27.0,10.125399999999999,4.0,137.0929
13.0,28.0,13.4428,0.0,181.4778
13.0,29.0,10.4122,14.0,141.96470000000002
13.0,30.0,7.0903,-16.0,94.11905
13.0,31.0,7.862,1.0,106.237
13.0,32.0,10.791,28.0,148.47850000000003
13.0,33.0,7.8015,29.0,108.22025000000001
13.0,34.0,6.980899999999999,-13.0,92.94215
13.0,35.0,5.2972,2.0,71.71220000000001
13.0,36.0,9.3576,-1.0,126.2276
13.0,37.0,3.2153,2.0,43.606550000000006
13.0,38.0,12.6229,14.0,171.80915
13.0,39.0,11.688600000000001,0.0,157.79610000000002
14.0,0.0,10.097100000000001,18.0,138.11085000000003
14.0,1.0,12.4135,-16.0,165.98225000000002
14.0,2.0,5.4177,-12.0,71.93894999999999
